feature,importance
votes,0.11980374106539579
kw_kourtney,0.11877277031639934
season,0.08219758327069958
kw_velma,0.0608041909302181
runtime_minutes,0.054429603975552444
number_of_episodes,0.03249063161277492
cast_size,0.02382245121993183
cast_unique_names_count,0.019614142894501033
kw_rome,0.01863202319637129
kw_kris,0.018575576373949725
kw_shelley,0.017670601133207047
kw_cleopatra,0.017493787155437913
kw_osha,0.013527673807964553
cast_id_entropy,0.013403636391595523
kw_feel,0.012132932871028035
